Drug 1863                                                                                                c1ccc(C2OC2c2ccccc2)cc1 0
Drug 6035                                                                                              N#Cc1ccc([N+](=O)[O-])cc1 0
Drug 2455                                                                                          Cc1cnc2cc(C)c3c(nc(N)n3C)c2n1 1
Drug 2850                                                                                                          CCCCCC(=O)OCC 0
 Drug 797                                                                                                N=C(N)N=C(N)NCCc1ccccc1 0
Drug 4112                                                                CS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc(N=[N+]=[N-])ccc23)cc1 1
Drug 3447                                                                            CC1=C(/C=C\C(C)=C/C=C\C(C)=C/CO)C(C)(C)CCC1 1
Drug 4591                                                             CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1 0
Drug 5521                                                                                                           O=C[C@H]1CO1 1
Drug 1879                                                                                                          COP(=O)(OC)SC 0
 Drug 489                                                                               CC1CC2c3cc(Br)cc4c3c(cn4CC3CC3)CC2N(C)C1 0
Drug 2787                                                                                             CN(C)CCN(Cc1cccs1)c1ccccn1 0
 Drug 791                                                                          CCN(CC)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2C#N)cc1 1
Drug 5819                                                                              Cc1c2ccccc2c(COS(=O)(=O)O)c2ccc3ccccc3c12 1
Drug 4059                                                                                                   O=C(NCc1ccccc1)C1CO1 1
Drug 3860                                                 COc1cc2c(c3oc(=O)c4c(c13)[C@@H](Cl)[C@@H](Cl)C4=O)[C@@H]1C=CO[C@@H]1O2 1
